institution,Location,Region,SIZE,FOCUS,RES.,STATUS,academic_reputation_score,Academic_Reputation_Rank,employer_reputation_score,Employer_Reputation_Rank,faculty_student_score,Faculty_Student_Rank,citations_score,Citations_per_Faculty_Rank,international_faculty_score,International_Faculty_Rank,international_student_score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,year,rank,ranking_level,predicted_rank,student_performance_score,student_program_target,label_encoded,student_program_target_predicted
Keio University,Japan,Asia,XL,FC,VH,B,53.0,151,91.6,46,57.2,257,5.1,701+,9.4,701+,10.2,701+,57.5,658,91.4,69,59.0,271=,2025,229.20039999999995,Low,210,31.375,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Liverpool,United Kingdom,Europe,L,FC,VH,A,46.1,176,39.4,239,37.8,422,36.6,373,88.3,203,85.4,150,97.2,38,36.3,351,95.6,50=,2025,230.10269999999994,Low,211,51.475,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Technische Universität Dresden,Germany,Europe,L,FC,VH,A,36.3,240,42.5,216,80.3,134,28.5,455,35.8,445,27.6,450,93.8,104,8.8,701+,75.8,181=,2025,230.6398,Low,212,43.175,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Cape Town,South Africa,Africa,L,FC,VH,A,45.2,185,51.8,170,13.8,701+,46.8,294,56.5,335,19.2,563,97.3,36,95.8,46,95.6,50=,2025,230.77159999999995,Low,213,31.25,Pelatihan Lanjutan,2,Pelatihan Lanjutan
L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,Asia,L,FO,VH,A,34.4,256,62.0,130,92.6,76,1.4,701+,68.7,289,8.2,701+,22.8,701+,5.5,701+,10.5,655=,2025,233.11590000000004,Low,214,34.15,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Indian Institute of Technology Madras (IITM),India,Asia,M,CO,VH,A,42.4,203,63.2,127,20.3,663,70.3,154,3.9,701+,1.6,701+,37.5,701+,27.0,444,44.6,343=,2025,234.68460000000007,Low,215,33.65,Pelatihan Lanjutan,2,Pelatihan Lanjutan
National Yang Ming Chiao Tung University,Taiwan,Asia,L,FC,VH,A,32.9,267,62.7,128,51.1,300,52.7,245,19.6,607,19.2,564,53.7,701+,58.3,210,38.8,379=,2025,236.1332999999999,Low,216,38.974999999999994,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Chulalongkorn University,Thailand,Asia,XL,FC,VH,A,68.2,97,35.9,261,31.7,499,7.5,701+,18.7,617,3.0,701+,79.6,331,93.6,60,73.2,198=,2025,236.783,Low,217,27.6,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Gadjah Mada University,Indonesia,Asia,XL,FC,VH,A,54.4,145,73.5,91,57.6,255,1.7,701+,40.3,417,4.1,701+,38.1,701+,69.0,167,26.8,473=,2025,238.12039999999996,Low,218,29.45,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Western University,Canada,Americas,XL,FC,VH,A,32.6,270,38.9,243,3.3,701+,93.4,60,99.8,94,49.5,299,81.5,296,96.7,38,99.3,10,2025,238.19789999999995,Low,219,44.7,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Cardiff University,United Kingdom,Europe,L,FC,VH,A,46.8,171,43.2,213,36.1,441,30.0,437,82.8,229,67.7,219,92.3,132,18.9,584,96.0,46=,2025,238.86900000000003,Low,220,45.150000000000006,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Deakin University,Australia,Oceania,XL,FC,VH,A,31.3,282,23.9,400,4.6,701+,73.6,140,96.4,135,63.8,236,82.7,280,36.8,347,93.7,66,2025,241.46239999999997,Low,221,43.325,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Waseda University,Japan,Asia,XL,CO,VH,B,60.7,122,96.1,30,23.5,616,3.8,701+,27.9,507,28.0,445,66.4,533,83.7,106,56.1,282=,2025,241.99590000000003,Low,222,29.0,Pelatihan Lanjutan,2,Pelatihan Lanjutan
UCSI University,Malaysia,Asia,M,FO,VH,C,27.0,326,65.1,120,78.1,150,3.6,701+,89.1,196,95.8,91,37.6,701+,10.2,701+,27.9,462=,2025,245.51449999999988,Low,223,51.125,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidad Nacional de Colombia,Colombia,Americas,XL,FC,HI,A,71.0,88,89.9,53,5.4,701+,3.4,701+,5.6,701+,1.4,701+,65.9,543,42.6,302,53.1,298=,2025,245.57190000000008,Low,224,20.300000000000004,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Taylor's University,Malaysia,Asia,S,FO,VH,C,27.0,323,81.0,72,71.5,185,10.1,701+,64.8,303,99.6,43,41.4,701+,4.2,701+,22.2,513=,2025,247.47259999999994,Low,225,52.05,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidad de los Andes,Colombia,Americas,L,FC,HI,B,67.7,100,88.4,54,14.2,701+,5.9,701+,22.8,560,1.9,701+,55.2,692,98.2,26,80.0,155,2025,250.04929999999996,Low,226,22.425000000000004,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Bandung Institute of Technology (ITB),Indonesia,Asia,L,CO,VH,A,43.2,197,72.7,95,55.8,266,2.6,701+,94.4,158,3.8,701+,26.3,701+,49.2,260,37.6,388=,2025,252.60340000000008,Low,227,26.349999999999998,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Pittsburgh,United States,Americas,L,FC,VH,A,35.0,251,12.7,601+,96.3,52,31.3,420,9.5,701+,13.5,650,91.7,141,42.6,303,53.5,295=,2025,252.94839999999985,Low,228,44.025000000000006,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Case Western Reserve University,United States,Americas,M,FC,VH,B,17.2,523,15.4,546,82.3,119,61.6,191,35.7,447,71.7,205,55.6,681,29.3,424,53.1,298=,2025,254.5369999999999,Low,229,58.2,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Queen's University at Kingston,Canada,Americas,L,FC,VH,A,40.8,209,56.7,144,5.4,701+,42.6,322,69.2,287,26.6,456,71.2,467,87.1,93,93.8,64=,2025,255.50940000000003,Low,230,28.85,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universite libre de Bruxelles,Belgium,Europe,XL,FC,VH,A,33.3,263,34.5,273,3.0,701+,49.9,263,98.7,110,84.4,155,87.5,203,65.5,179,25.2,490,2025,255.8276000000001,Low,231,42.65,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Tongji University,China (Mainland),Asia,XL,FC,VH,A,31.8,276,16.9,508,29.1,533,96.9,44,54.5,345,26.5,457,72.9,442,24.0,473,81.4,147,2025,257.1008000000001,Low,232,46.075,Pelatihan Lanjutan,2,Pelatihan Lanjutan
The Hebrew University of Jerusalem,Israel,Asia,L,FC,VH,A,32.8,269,18.2,484,79.3,143,19.4,563,53.2,349,23.8,492,77.8,364,94.6,54,34.2,413=,2025,259.75199999999995,Low,233,38.825,Pelatihan Lanjutan,2,Pelatihan Lanjutan
National Cheng Kung University (NCKU),Taiwan,Asia,L,FC,VH,A,51.5,157,74.0,90,33.4,472,20.3,554,16.3,646,13.9,642,58.7,648,42.4,306,83.8,131,2025,260.5313999999999,Low,234,29.775000000000002,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Mahidol University,Thailand,Asia,L,FC,VH,A,44.1,192,21.8,424,81.1,126,4.7,701+,4.9,701+,4.2,701+,57.2,659,9.8,701+,57.7,276=,2025,261.2369999999999,Low,235,33.52499999999999,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Georgetown University,United States,Americas,L,FC,VH,B,29.3,302,41.9,224,63.0,218,14.0,655,28.0,506,37.3,377,62.5,597,90.9,71,37.0,391=,2025,261.9771,Low,236,35.9,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Calgary,Canada,Americas,XL,FC,VH,A,37.9,227,44.5,207,18.1,701+,40.3,350,77.7,246,66.2,225,85.2,243,53.3,236,93.3,68=,2025,262.5677,Low,237,40.625,Pelatihan Lanjutan,2,Pelatihan Lanjutan
RUDN University,Russia,Europe,L,FC,VH,A,24.4,357,48.7,186,92.0,79,2.1,701+,8.0,701+,92.2,107,89.7,170,10.0,701+,24.0,498=,2025,263.38030000000003,Low,238,52.675,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Queen's University Belfast,United Kingdom,Europe,L,FC,VH,A,35.4,249,33.6,279,28.6,543,40.6,345,100.0,74,98.2,67,92.8,124,9.9,701+,88.9,103=,2025,264.83230000000003,Low,239,50.7,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Belarusian State University,Belarus,Europe,L,CO,HI,A,28.4,308,40.7,230,93.0,72,1.3,701+,3.8,701+,59.3,250,36.4,701+,38.2,338,1.0,701+,2025,264.9744000000001,Low,240,45.5,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Ecole des Ponts ParisTech,France,Europe,S,FO,VH,A,8.9,601+,58.5,138,99.0,38,62.6,186,43.5,404,96.5,84,37.3,701+,59.5,207,10.8,650=,2025,265.43440000000015,Low,241,66.75,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Massachusetts Amherst,United States,Americas,L,CO,VH,A,38.2,224,17.2,498,10.0,701+,48.8,274,61.0,321,25.3,474,79.8,327,30.6,411,83.4,136=,2025,266.6446000000001,Low,242,30.575,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Curtin University,Australia,Oceania,L,CO,VH,A,33.1,266,27.7,348,15.7,701+,84.7,95,100.0,49,24.3,485,94.2,96,31.0,405,90.7,89=,2025,267.9702000000001,Low,243,39.45,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Warsaw,Poland,Europe,XL,CO,VH,A,50.0,163,53.6,158,46.4,330,5.5,701+,10.5,701+,8.4,701+,84.1,262,60.0,203,69.8,222,2025,267.99199999999996,Low,244,27.575000000000003,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Galway,Ireland,Europe,L,FC,VH,A,26.2,339,30.3,311,63.2,217,13.2,664,95.2,144,43.2,333,81.3,301,46.6,274,85.9,120,2025,269.1736999999999,Low,245,36.45,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Navarra,Spain,Europe,L,FC,HI,B,30.6,291,68.0,108,49.6,315,14.7,642,24.8,537,73.8,196,63.6,578,75.8,137,42.3,355=,2025,269.61530000000005,Low,246,42.175,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Massey University,New Zealand,Oceania,M,CO,VH,A,30.1,293,14.0,585,48.0,324,27.4,473,98.5,112,95.2,96,85.1,244,49.2,259,91.4,81=,2025,270.089,Low,247,50.175,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidad Carlos III de Madrid (UC3M),Spain,Europe,L,FO,VH,A,33.5,260,56.3,147,49.5,316,4.1,701+,64.8,302,52.3,279,66.3,534,20.7,551,68.3,227,2025,270.4854,Low,248,34.849999999999994,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Jagiellonian University,Poland,Europe,XL,FO,VH,A,37.8,228,46.4,199,65.1,203,5.5,701+,5.7,701+,15.4,615,88.6,188,51.3,249,35.4,400=,2025,270.57379999999995,Low,249,30.95,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Sun Yat-sen University,China (Mainland),Asia,XL,FC,VH,A,31.8,278,28.8,329,46.4,329,49.5,269,2.2,701+,3.6,701+,77.4,370,21.4,536,15.9,581=,2025,271.2756,Low,250,32.825,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Vrije Universiteit Brussel (VUB),Belgium,Europe,L,FC,VH,A,23.3,381,13.7,592,76.1,159,18.2,581,93.6,165,58.2,255,93.1,115,51.8,243,72.1,208=,2025,271.95619999999997,Low,251,43.95,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Hamad Bin Khalifa University,Qatar,Asia,S,FO,VH,A,12.9,601+,4.7,601+,99.9,20,100.0,8,100.0,9,100.0,10,74.3,417,6.0,701+,2.6,701+,2025,272.5191000000001,Low,252,78.2,Outsourcing,1,Outsourcing
Kyung Hee University,South Korea,Asia,L,FC,VH,B,23.2,383,37.1,253,82.1,121,15.1,636,14.3,676,53.4,276,54.5,701+,13.8,699,80.5,152=,2025,272.6987000000001,Low,253,43.449999999999996,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Satbayev University,Kazakhstan,Asia,M,FO,VH,A,27.8,318,43.4,211,88.1,94,1.2,701+,66.7,296,16.9,588,15.0,701+,23.6,477,3.8,701+,2025,274.3996000000001,Low,254,33.5,Pelatihan Lanjutan,2,Pelatihan Lanjutan
"The University of Newcastle, Australia (UON)",Australia,Oceania,L,FC,VH,A,28.3,312,24.5,392,28.7,537,91.7,70,99.9,89,24.2,487,82.0,289,14.8,670,92.4,74,2025,274.77299999999997,Low,255,43.224999999999994,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Porto,Portugal,Europe,XL,FC,VH,A,41.3,206,17.9,492,10.8,701+,59.6,205,6.6,701+,19.8,543,95.1,77,39.1,327,53.1,298=,2025,275.3013000000003,Low,256,32.875,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universitat Pompeu Fabra (Barcelona),Spain,Europe,M,FO,VH,A,31.7,279,29.4,319,12.1,701+,67.1,163,75.6,259,24.5,482,74.0,421,16.4,626,27.9,462=,2025,275.5357000000001,Low,257,33.849999999999994,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Otago,New Zealand,Oceania,L,FC,VH,A,45.0,187,24.6,388,12.8,701+,38.8,361,100.0,50,37.6,375,79.5,332,59.1,208,96.0,48,2025,275.7526,Low,258,33.55,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Technical University of Darmstadt,Germany,Europe,L,CO,VH,A,20.0,444,35.9,260,6.7,701+,70.0,155,60.3,323,81.4,167,65.9,544,44.4,288,71.8,211=,2025,275.8751,Low,259,44.525000000000006,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Bergen,Norway,Europe,L,FC,VH,A,31.6,280,8.3,601+,64.9,205,28.3,460,93.3,167,16.9,589,90.7,160,63.9,184,33.6,416=,2025,277.00810000000007,Low,260,35.425,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Maastricht University,Netherlands,Europe,L,FO,VH,A,23.0,389,27.8,345,13.2,701+,62.8,185,99.4,97,100.0,20,80.5,312,38.2,337,52.5,302=,2025,277.30170000000004,Low,261,49.75,Pelatihan Lanjutan,2,Pelatihan Lanjutan
American University of Beirut (AUB),Lebanon,Asia,M,FC,VH,B,28.6,307,29.5,315,48.5,322,28.9,449,63.2,310,37.0,379,73.1,438,97.0,35,80.5,152=,2025,278.5685,Low,262,35.75,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Politecnico di Torino,Italy,Europe,XL,FO,VH,A,40.2,213,52.1,165,3.1,701+,51.6,254,4.9,701+,41.0,349,81.4,297,30.6,412,77.9,169,2025,279.5778000000002,Low,263,33.975,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Université Paris 1 Panthéon-Sorbonne,France,Europe,XL,FO,VH,A,65.6,104,33.3,280,4.6,701+,2.9,701+,34.3,467,46.5,317,70.3,481,74.8,140,23.7,500=,2025,280.61140000000006,Low,264,29.9,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Airlangga University,Indonesia,Asia,XL,FC,HI,A,37.1,232,79.1,80,57.0,259,1.5,701+,58.0,330,6.7,701+,40.3,701+,18.9,585,16.3,570=,2025,280.94390000000004,Low,265,25.575,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Virginia,United States,Americas,L,FC,VH,A,37.3,230,27.3,353,55.8,267,29.1,446,6.1,701+,11.3,690,81.6,295,77.9,129,35.4,400=,2025,281.02679999999975,Low,266,33.375,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Czech Technical University in Prague,Czech Republic,Europe,L,SP,VH,A,22.0,404,42.4,217,80.6,129,3.6,701+,19.9,598,50.2,293,59.4,639,15.6,642,5.8,701+,2025,286.75250000000005,Low,267,39.099999999999994,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Tomsk State University,Russia,Europe,M,CO,VH,A,22.0,403,13.5,601+,99.0,36,4.2,701+,21.6,574,91.6,113,64.1,571,4.4,701+,1.4,701+,2025,287.01390000000004,Low,268,54.2,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Indian Institute of Technology Kharagpur (IIT-KGP),India,Asia,L,FO,VH,A,34.0,257,51.1,173,9.0,701+,90.2,76,1.1,701+,1.1,701+,69.3,492,33.0,386,44.3,348=,2025,287.4231,Low,269,33.574999999999996,Pelatihan Lanjutan,2,Pelatihan Lanjutan
La Trobe University,Australia,Oceania,L,CO,VH,A,23.6,370,19.8,457,8.0,701+,77.7,123,92.6,172,95.0,97,78.6,345,19.6,570,78.4,166=,2025,288.4237,Low,270,51.075,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Indian Institute of Technology Kanpur (IITK),India,Asia,M,FO,VH,A,36.9,234,56.9,142,14.0,701+,73.3,142,2.6,701+,1.1,701+,38.8,701+,19.6,567,22.0,516=,2025,288.6524,Low,271,31.324999999999996,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Tel Aviv University,Israel,Asia,L,FC,VH,A,32.0,275,18.6,474,4.2,701+,99.4,20,39.7,419,7.0,701+,77.9,362,88.4,85,46.2,334=,2025,289.80130000000025,Low,272,35.650000000000006,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Ottawa,Canada,Americas,XL,FC,VH,A,26.2,340,23.3,406,3.5,701+,81.3,106,91.7,179,77.8,181,93.0,119,39.8,323,92.9,72,2025,289.8556999999999,Low,273,47.2,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Saint Petersburg State University,Russia,Europe,L,FC,VH,A,36.3,238,30.5,309,59.4,247,4.6,701+,4.9,701+,38.9,360,83.9,263,71.7,150,3.2,701+,2025,290.07050000000004,Low,274,34.8,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Novosibirsk State University,Russia,Europe,M,CO,VH,A,24.7,354,18.4,480,91.0,81,9.5,701+,6.3,701+,57.0,259,56.5,671,5.8,701+,5.3,701+,2025,294.14240000000007,Low,275,45.55,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Victoria University of Wellington,New Zealand,Oceania,L,CO,VH,A,42.8,202,21.4,429,10.1,701+,32.1,410,100.0,82,31.0,420,70.7,475,71.6,151,91.4,81=,2025,296.4864,Low,276,29.0,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Kazan (Volga region) Federal University,Russia,Europe,L,FC,VH,A,23.6,373,11.4,601+,95.6,58,2.4,701+,10.2,701+,95.7,93,88.3,191,15.4,647,22.2,513=,2025,298.5172000000001,Low,277,54.325,Pelatihan Lanjutan,2,Pelatihan Lanjutan
The University of Arizona,United States,Americas,XL,FC,VH,A,37.3,231,22.2,420,44.4,349,38.8,360,31.6,486,15.1,620,94.1,98,37.1,344,40.4,363=,2025,299.50109999999995,Low,278,33.9,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Radboud University,Netherlands,Europe,L,FC,VH,A,28.0,315,14.1,582,27.0,561,66.0,167,81.3,233,18.6,573,93.9,101,19.6,571,39.8,369=,2025,299.64770000000004,Low,279,34.9,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Surrey,United Kingdom,Europe,L,CO,VH,A,19.7,454,17.9,490,22.8,625,55.2,227,97.1,129,87.1,139,86.4,226,20.4,557,28.4,456=,2025,300.42779999999993,Low,280,46.2,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Harbin Institute of Technology,China (Mainland),Asia,XL,FO,VH,A,27.1,321,21.1,435,33.7,468,99.8,14,8.0,701+,5.0,701+,68.6,507,28.3,434,14.6,597=,2025,300.76639999999986,Low,281,41.4,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Beijing Normal University,China (Mainland),Asia,L,CO,VH,A,33.9,259,10.3,601+,24.2,605,92.6,65,6.6,701+,21.3,524,70.8,471,10.5,701+,19.7,537=,2025,300.80559999999986,Low,282,43.0,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidade Federal do Rio de Janeiro,Brazil,Americas,XL,FC,VH,A,61.9,112,23.3,407,13.7,701+,7.8,701+,7.6,701+,1.5,701+,79.7,330,81.4,117,59.6,269=,2025,301.80909999999994,Low,283,21.224999999999998,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Aberdeen,United Kingdom,Europe,L,FC,VH,A,30.5,292,28.8,330,32.7,482,32.0,412,94.5,154,92.6,103,88.5,190,22.2,519,96.5,37=,2025,302.3398000000002,Low,284,46.95,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Hong Kong Baptist University,Hong Kong SAR,Asia,M,CO,VH,A,18.2,499,12.0,601+,60.0,242,61.4,192,98.9,109,100.0,19,37.0,701+,15.7,641,54.4,291=,2025,302.4235999999998,Low,285,59.9,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Charles University,Czech Republic,Europe,XL,FC,VH,A,45.6,182,49.1,183,32.2,491,8.0,701+,25.0,535,50.5,291,96.3,51,65.5,178,77.4,173=,2025,302.4273999999999,Low,286,34.075,Pelatihan Lanjutan,2,Pelatihan Lanjutan
United Arab Emirates University,United Arab Emirates,Asia,M,FC,VH,A,30.1,295,38.3,247,49.8,312,16.6,612,100.0,19,34.2,396,86.2,230,82.0,111,36.6,393=,2025,302.8494000000001,Low,287,32.675,Pelatihan Lanjutan,2,Pelatihan Lanjutan
National Taiwan Normal University,Taiwan,Asia,M,CO,VH,A,34.7,254,20.5,444,62.9,219,5.4,701+,14.5,673,25.2,478,23.3,701+,17.3,612,49.8,319=,2025,304.79620000000017,Low,288,32.05,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Sussex,United Kingdom,Europe,L,FC,VH,A,22.6,395,10.4,601+,15.5,701+,56.8,220,99.6,95,84.9,152,84.7,252,39.9,322,97.7,26=,2025,306.10400000000004,Low,289,44.95,Pelatihan Lanjutan,2,Pelatihan Lanjutan
"University of California, Irvine",United States,Americas,XL,FC,VH,A,37.5,229,22.3,419,17.3,701+,40.7,344,43.9,401,58.7,252,84.1,260,11.2,701+,36.0,397,2025,306.2507,Low,290,38.55,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Loughborough University,United Kingdom,Europe,L,CO,VH,A,29.7,299,55.3,151,23.8,613,32.4,406,87.1,212,68.6,216,87.1,214,23.2,488,93.8,64=,2025,306.43760000000003,Low,291,38.625,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universität Innsbruck,Austria,Europe,L,FC,HI,A,20.3,434,7.8,601+,73.1,177,9.3,701+,100.0,68,100.0,27,71.5,461,55.8,223,61.6,263=,2025,306.82000000000016,Low,292,50.675,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universiti Brunei Darussalam (UBD),Brunei,Asia,S,CO,VH,A,20.2,438,8.8,601+,92.9,73,9.9,701+,100.0,62,46.5,318,35.4,701+,56.5,217,12.7,615=,2025,307.3527,Low,293,42.375,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Ulsan National Institute of Science and Technology (UNIST),South Korea,Asia,S,FO,VH,A,13.6,601+,13.5,601+,87.9,95,98.1,34,29.3,499,9.6,701+,24.8,701+,3.3,701+,16.1,577=,2025,312.5787000000001,Low,294,52.3,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Tartu,Estonia,Europe,M,FC,VH,A,22.9,391,10.5,601+,93.7,71,10.8,701+,48.6,372,15.1,621,88.8,186,85.7,98,18.0,555=,2025,312.7853999999999,Low,295,35.625,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Waikato,New Zealand,Oceania,M,CO,VH,A,19.1,473,11.7,601+,12.4,701+,84.7,94,99.0,107,56.9,261,55.1,697,46.4,276,89.5,99,2025,314.5393,Low,296,43.275,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Goethe-University Frankfurt am Main,Germany,Europe,XL,FC,VH,A,43.2,196,33.2,282,24.4,600,15.9,621,37.4,432,24.1,489,90.4,166,20.2,560,75.0,186=,2025,314.6590000000001,Low,297,26.9,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Graz University of Technology,Austria,Europe,M,FO,VH,A,14.7,590,15.7,545,98.9,40,11.1,701+,81.8,232,59.7,247,59.9,634,11.9,701+,2.8,701+,2025,315.7245000000002,Low,298,46.1,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Université Grenoble Alpes,France,Europe,XL,FC,VH,A,44.7,190,14.3,574,7.9,701+,41.7,330,20.2,594,35.1,389,94.9,78,20.7,552,21.5,518=,2025,316.258,Low,299,32.35,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Rutgers UniversityNew Brunswick,United States,Americas,XL,CO,VH,A,36.2,243,28.1,340,46.3,333,12.8,671,18.0,625,28.2,443,78.0,361,25.7,459,95.4,55=,2025,319.0427,Low,300,30.875,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Griffith University,Australia,Oceania,L,FC,VH,A,27.0,324,13.7,593,8.4,701+,62.5,187,99.8,90,38.5,363,92.1,135,17.9,602,96.4,40,2025,319.38390000000015,Low,301,34.1,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Notre Dame,United States,Americas,L,CO,VH,B,25.8,344,25.2,379,60.8,237,29.2,444,22.3,566,18.4,575,70.1,484,60.2,201,68.9,225,2025,320.5977999999999,Low,302,33.55,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Tsukuba,Japan,Asia,L,FC,VH,A,36.6,237,22.5,416,54.7,278,17.3,594,12.4,701+,19.3,561,66.9,525,9.8,701+,63.4,249,2025,321.0568,Low,303,31.975,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Friedrich-Alexander-Universität Erlangen-Nürnberg,Germany,Europe,L,FC,VH,A,25.8,345,27.7,346,3.2,701+,94.9,50,27.2,516,48.8,300,87.1,213,19.6,568,74.5,193=,2025,321.6657,Low,304,43.175,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Beijing Institute of Technology,China (Mainland),Asia,XL,FO,VH,A,23.2,384,24.3,396,43.4,361,82.0,103,5.7,701+,6.7,701+,68.6,505,14.3,681,10.1,661=,2025,321.7636,Low,305,38.824999999999996,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Dalhousie University,Canada,Americas,L,FC,VH,A,19.4,463,16.7,513,12.9,701+,53.5,239,99.9,86,74.6,189,77.4,369,30.1,416,87.9,109,2025,322.92519999999996,Low,306,40.099999999999994,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Pontificia Universidad Católica del Perú,Peru,Americas,L,FO,VH,B,48.4,169,61.6,132,33.2,475,1.6,701+,4.0,701+,1.3,701+,38.1,701+,33.0,385,29.6,447=,2025,323.4322999999997,Low,307,21.124999999999996,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Tashkent Institute of Irrigation and Agricultural Mechanization Engineers - National Research University (TIIAME-NRU),Uzbekistan,Asia,M,FO,VH,A,30.6,290,19.9,456,79.0,144,2.2,701+,26.3,522,4.1,701+,8.6,701+,15.1,659,9.5,678=,2025,325.4114,Low,308,28.974999999999998,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Milan,Italy,Europe,XL,FC,VH,A,52.8,152,17.0,505,6.4,701+,39.6,356,6.5,701+,6.8,701+,85.5,239,44.1,290,74.8,190=,2025,326.94550000000004,Low,309,26.4,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universität Stuttgart,Germany,Europe,L,FO,VH,A,23.1,386,33.0,286,6.8,701+,55.2,228,36.0,442,46.8,314,70.4,479,21.7,527,65.3,239=,2025,327.23920000000015,Low,310,32.975,Pelatihan Lanjutan,2,Pelatihan Lanjutan
