institution,Location,Region,SIZE,FOCUS,RES.,STATUS,academic_reputation_score,Academic_Reputation_Rank,employer_reputation_score,Employer_Reputation_Rank,faculty_student_score,Faculty_Student_Rank,citations_score,Citations_per_Faculty_Rank,international_faculty_score,International_Faculty_Rank,international_student_score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,year,rank,ranking_level,predicted_rank,student_performance_score,student_program_target,label_encoded,student_program_target_predicted
Kookmin University,South Korea,Asia,L,CO,HI,C,3.6,601+,4.0,601+,35.3,449,2.9,701+,4.9,701+,31.1,419,7.9,701+,2.9,701+,2.9,701+,2025,465.5382999999998,Low,856,18.225,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Loyola University Chicago,United States,Americas,L,FC,HI,B,8.5,601+,17.3,497,23.2,620,7.0,701+,6.5,701+,3.0,701+,39.5,701+,13.2,701+,1.9,701+,2025,465.6372,Low,857,10.425,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Pavol Jozef afárik University in Koice,Slovakia,Europe,M,FC,HI,A,4.7,601+,5.1,601+,59.7,244,3.0,701+,5.1,701+,65.3,228,41.7,701+,4.6,701+,1.0,701+,2025,465.64059999999984,Low,858,33.175,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Université Côte d\'Azur,France,Europe,XL,FC,VH,A,15.5,567,4.1,601+,5.7,701+,18.3,577,29.3,498,38.3,367,78.4,352,8.9,701+,18.4,549=,2025,465.6608999999998,Low,859,19.45,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Nottingham Trent University,United Kingdom,Europe,XL,CO,HI,A,10.6,601+,15.1,557,10.6,701+,5.1,701+,57.1,333,74.0,193,84.6,254,12.0,701+,64.1,245=,2025,465.6666999999998,Low,860,25.075,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Applied Science Private University - Jordan,Jordan,Asia,S,CO,HI,C,9.9,601+,15.7,542,28.6,541,3.1,701+,39.3,422,59.7,248,10.4,701+,4.6,701+,1.8,701+,2025,465.72900000000004,Low,861,25.325000000000003,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Robert Gordon University,United Kingdom,Europe,M,CO,HI,A,3.7,601+,11.5,601+,5.6,701+,5.3,701+,62.6,312,74.1,191,35.8,701+,5.6,701+,5.8,701+,2025,465.7623999999997,Low,862,22.174999999999997,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Tallinn University of Technology (TalTech),Estonia,Europe,M,FO,VH,A,12.8,601+,10.2,601+,31.5,502,10.8,701+,60.0,325,18.3,577,83.3,275,45.6,279,1.3,701+,2025,465.7703000000001,Low,863,18.349999999999998,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Mendel University in Brno,Czech Republic,Europe,M,FO,VH,A,6.2,601+,6.5,601+,55.1,276,4.1,701+,11.2,701+,32.1,413,59.1,643,3.8,701+,1.2,701+,2025,465.8848999999997,Low,864,24.375,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Manitoba,Canada,Americas,L,FC,VH,A,13.6,601+,15.9,536,29.6,526,12.0,694,12.5,,43.2,334,73.1,439,32.8,390,16.3,570=,2025,465.88919999999996,Low,865,24.6,Pelatihan Lanjutan,2,Pelatihan Lanjutan
China University of Petroleum,China (Mainland),Asia,L,CO,VH,A,3.4,601+,1.7,601+,8.6,701+,79.7,109,1.7,701+,2.8,701+,24.1,701+,21.1,543,1.5,701+,2025,465.9261,Low,866,23.625,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Charles Sturt University,Australia,Oceania,L,CO,VH,A,5.1,601+,5.4,601+,8.2,701+,8.1,701+,45.4,395,47.9,303,53.4,701+,7.4,701+,41.7,357,2025,465.94869999999975,Low,867,17.325,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Lobachevsky University,Russia,Europe,L,FO,VH,A,7.9,601+,3.9,601+,41.1,382,2.0,701+,2.0,701+,22.3,514,18.1,701+,3.2,701+,1.3,701+,2025,466.11629999999974,Low,868,18.325,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Konkuk University,South Korea,Asia,L,FC,VH,B,7.0,601+,8.1,601+,61.8,231,17.1,600,9.5,701+,17.7,582,46.8,701+,9.0,701+,28.4,456=,2025,466.1281999999999,Low,869,25.900000000000002,Pelatihan Lanjutan,2,Pelatihan Lanjutan
"Siberian Federal University, SibFU",Russia,Europe,M,CO,VH,A,6.8,601+,4.5,601+,18.9,701+,3.8,701+,46.3,387,31.6,417,32.6,701+,8.0,701+,1.2,701+,2025,466.1691,Low,870,15.275,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Plymouth,United Kingdom,Europe,L,FC,HI,A,8.9,601+,8.9,601+,11.6,701+,25.9,487,49.8,368,36.2,381,80.1,320,7.3,701+,21.5,518=,2025,466.17390000000006,Low,871,20.65,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Brescia,Italy,Europe,M,FO,VH,A,4.4,601+,2.2,601+,7.4,701+,56.3,223,2.6,701+,6.3,701+,55.5,688,3.3,701+,44.9,338=,2025,466.20979999999986,Low,872,18.599999999999998,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidad de Concepción,Chile,Americas,L,FC,HI,B,26.2,341,22.4,418,14.8,701+,6.7,701+,10.6,701+,1.7,701+,61.1,617,12.5,701+,45.9,336=,2025,466.24579999999963,Low,873,12.350000000000001,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universität Duisburg-Essen,Germany,Europe,XL,FC,VH,A,11.3,601+,4.2,601+,13.2,701+,11.2,701+,35.0,457,39.4,355,81.4,298,12.2,701+,5.9,701+,2025,466.2799999999997,Low,874,18.775,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidad Autónoma del Estado de México (UAEMex),Mexico,Americas,XL,FC,MD,A,19.3,466,8.2,601+,4.6,701+,1.5,701+,3.0,701+,1.3,701+,16.0,701+,1.8,701+,4.9,701+,2025,466.3345999999994,Low,875,6.675,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Vellore Institute of Technology (VIT),India,Asia,XL,CO,VH,B,12.7,601+,16.1,527,7.3,701+,18.9,570,8.9,701+,2.9,701+,76.9,379,6.1,701+,29.6,447=,2025,466.3818999999998,Low,876,10.45,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Kasetsart University,Thailand,Asia,XL,CO,VH,A,25.2,350,18.6,475,6.5,701+,2.5,701+,4.3,701+,1.3,701+,51.9,701+,18.5,593,33.9,415,2025,466.3858999999996,Low,877,8.875,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universität Siegen,Germany,Europe,L,CO,HI,A,4.5,601+,1.7,601+,9.2,701+,6.8,701+,57.7,332,28.0,444,40.0,701+,3.9,701+,1.2,701+,2025,466.3895999999999,Low,878,12.125,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidad Simón Bolívar (USB),Venezuela,Americas,S,FO,VH,A,13.7,601+,15.9,535,14.4,701+,2.6,701+,1.7,701+,1.0,701+,11.5,701+,11.2,701+,1.0,701+,2025,466.3985,Low,879,7.925000000000001,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of Tyumen,Russia,Europe,M,FO,VH,A,3.6,601+,2.1,601+,37.1,432,1.6,701+,4.5,701+,13.8,645,27.0,701+,4.5,701+,1.3,701+,2025,466.4058,Low,880,14.025000000000002,Pelatihan Lanjutan,2,Pelatihan Lanjutan
SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,India,Asia,XL,CO,VH,B,8.6,601+,16.0,533,13.4,701+,4.0,701+,1.5,701+,1.6,701+,56.2,675,1.8,701+,12.7,615=,2025,466.4633000000002,Low,881,6.9,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidad de Antioquia,Colombia,Americas,XL,FC,HI,A,29.1,303,20.8,440,4.1,701+,4.3,701+,3.7,701+,1.2,701+,48.1,701+,20.4,556,2.9,701+,2025,466.4851999999997,Low,882,9.675,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidad Católica de Temuco,Chile,Americas,M,CO,HI,B,4.1,601+,1.4,601+,2.0,701+,4.8,701+,35.1,456,9.6,,14.3,701+,2.0,701+,1.1,701+,2025,466.49490000000003,Low,883,5.125,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Universidad de Alcalá,Spain,Europe,L,FC,HI,A,9.7,601+,5.8,601+,60.0,243,5.6,701+,10.6,701+,44.9,326,77.1,376,7.7,701+,59.0,271=,2025,466.515,Low,884,30.049999999999997,Pelatihan Lanjutan,2,Pelatihan Lanjutan
National Research University Moscow Power Engineering Institute (MPEI),Russia,Europe,M,FO,VH,A,6.9,601+,4.0,601+,12.8,701+,1.9,701+,6.8,701+,41.6,343,21.0,701+,9.5,701+,1.0,701+,2025,466.5634000000002,Low,885,15.8,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Beijing Foreign Studies University,China (Mainland),Asia,M,SP,VH,A,5.7,601+,2.9,601+,25.9,574,1.5,701+,19.6,606,25.8,468,3.4,701+,7.4,701+,1.0,701+,2025,466.57320000000027,Low,886,14.724999999999998,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Voronezh State University,Russia,Europe,L,CO,HI,A,5.4,601+,2.7,601+,21.8,641,1.3,701+,3.0,701+,21.4,523,12.1,701+,3.0,701+,1.0,701+,2025,466.5738000000002,Low,887,12.475000000000001,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Worcester Polytechnic Institute,United States,Americas,M,CO,VH,B,3.5,601+,5.2,601+,17.4,701+,26.2,483,42.0,410,23.5,499,25.6,701+,8.3,701+,1.9,701+,2025,466.6488000000001,Low,888,17.65,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Vytautas Magnus University,Lithuania,Europe,M,FO,VH,A,10.4,601+,16.8,512,41.8,371,2.4,701+,26.7,520,47.8,304,48.1,701+,21.6,529,6.7,701+,2025,466.68440000000015,Low,889,25.599999999999998,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Memorial University of Newfoundland,Canada,Americas,L,FC,VH,A,7.2,601+,5.9,601+,10.1,701+,28.6,454,23.9,548,78.4,178,74.1,420,12.1,701+,16.9,563=,2025,466.75600000000026,Low,890,31.075000000000003,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Leeds Beckett University,United Kingdom,Europe,L,CO,HI,A,4.5,601+,5.9,601+,3.8,701+,7.5,701+,39.1,424,27.4,452,24.8,701+,8.5,701+,1.5,701+,2025,466.758,Low,891,10.8,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of the West of England,United Kingdom,Europe,XL,CO,HI,A,9.0,601+,9.0,601+,7.5,701+,11.9,695,46.9,381,75.3,185,76.1,387,2.1,701+,14.3,602,2025,466.7887000000002,Low,892,25.924999999999997,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Wayne State University,United States,Americas,L,FC,VH,A,7.6,601+,3.4,601+,62.1,229,10.6,701+,13.3,700,5.4,701+,73.6,425,19.4,572,3.1,701+,2025,466.91949999999974,Low,893,21.425,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Sheffield Hallam University,United Kingdom,Europe,L,CO,HI,A,6.7,601+,8.6,601+,9.5,701+,4.5,701+,33.6,473,33.1,405,50.4,701+,8.6,701+,2.2,701+,2025,466.93059999999974,Low,894,13.45,Pelatihan Lanjutan,2,Pelatihan Lanjutan
University of the Pacific,United States,Americas,M,CO,HI,B,2.2,601+,3.5,601+,31.9,495,3.0,701+,3.2,701+,12.0,680,7.6,701+,8.1,701+,1.0,701+,2025,466.9736999999999,Low,895,12.275,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Aberystwyth University,United Kingdom,Europe,M,CO,VH,A,9.4,601+,5.9,601+,18.5,701+,20.3,553,44.6,397,46.5,316,65.9,541,7.1,701+,44.9,338=,2025,466.99639999999977,Low,896,23.675,Pelatihan Lanjutan,2,Pelatihan Lanjutan
Okayama University,Japan,Asia,L,FC,VH,A,8.9,601+,3.7,601+,61.3,233,7.7,701+,6.1,701+,6.3,701+,52.5,701+,2.9,701+,14.5,600=,2025,467.0152,Low,897,21.05,Pelatihan Lanjutan,2,Pelatihan Lanjutan
